left,bottom,right,top,gid,CCTV,경사도,공원,관공서,주차장,주택가,POP,sum,rank
129.068,35.162,129.069,35.163,122,0.0,0.0700280112044818,0.0,0.0,0.0,0.75,0.2218686875991303,1.041896698803612,116
129.036,35.151,129.037,35.152,1258,0.0,0.226890756302521,0.0,0.0,0.0,0.6617647058823529,0.15216290875432076,1.0408183709391947,117
129.062,35.141,129.063,35.142,187,0.0,0.028011204481792718,0.0,0.0,1.0,0.0,0.012114988743136205,1.0401261932249288,118
129.043,35.154,129.044,35.155,1068,0.0,0.06442577030812326,0.0,0.0,0.0,0.6470588235294118,0.3284063462678796,1.0398909401054146,119
129.022,35.157,129.023,35.158,1178,0.3333333333333333,0.1876750700280112,0.0,0.0,0.0,0.4411764705882353,0.0735143109208452,1.035699184870425,120
129.046,35.166,129.047,35.167,1493,0.3333333333333333,0.058823529411764705,0.0,0.0,0.0,0.5735294117647058,0.06807630562746772,1.0337625801372716,121
129.066,35.173,129.067,35.174,1174,0.0,0.14285714285714285,0.0,0.0,0.0,0.6176470588235294,0.2701888356979979,1.0306930373786702,122
129.049,35.144,129.05,35.145,882,0.0,0.26330532212885155,0.0,0.0,0.0,0.6176470588235294,0.14731787744240196,1.028270258394783,123
129.053,35.162,129.054,35.163,1657,0.0,0.028011204481792718,0.0,1.0,0.0,0.0,0.0,1.0280112044817926,124
129.054,35.146,129.055,35.147,236,0.3333333333333333,0.11764705882352941,0.0,0.0,0.0,0.2647058823529412,0.3115379238197166,1.0272241983295205,125
129.048,35.165,129.049,35.166,395,0.0,0.22969187675070027,0.0,0.0,0.0,0.75,0.04632428445395774,1.0260161612046579,126
129.065,35.16,129.066,35.161,1268,0.0,0.06722689075630252,0.0,0.0,0.0,0.08823529411764705,0.8695457240790825,1.025007908953032,127
129.044,35.153,129.045,35.154,146,0.0,0.1400560224089636,0.0,0.0,0.25,0.38235294117647056,0.24549604925058696,1.017905012836021,128
129.064,35.173,129.065,35.174,240,0.0,0.17647058823529413,0.0,0.0,0.0,0.6617647058823529,0.17910706796060338,1.0173423620782505,129
129.05,35.155,129.051,35.156,159,0.0,0.19327731092436976,0.0,0.0,0.5,0.25,0.07387105949505614,1.017148370419426,130
129.021,35.156,129.022,35.157,595,0.0,0.23249299719887956,0.0,0.0,0.25,0.45588235294117646,0.07640204600128236,1.0147773961413384,131
129.068,35.163,129.069,35.164,570,0.0,0.14565826330532214,0.0,0.0,0.0,0.6911764705882353,0.1745753968827888,1.0114101307763463,132
129.048,35.152,129.049,35.153,160,0.0,0.35014005602240894,0.0,0.0,0.0,0.4852941176470588,0.17515390808421194,1.0105880817536796,133
129.071,35.157,129.072,35.158,881,0.0,0.21288515406162464,0.0,0.0,0.0,0.5147058823529411,0.2796957031080514,1.0072867395226173,134
129.06,35.141,129.061,35.142,1111,0.0,1.0,0.0,0.0,0.0,0.0,0.0035385601820381914,1.0035385601820381,135
129.061,35.146,129.062,35.147,541,0.0,0.1792717086834734,0.0,0.0,0.0,0.16176470588235295,0.6597920252230883,1.0008284397889147,136
129.018,35.153,129.019,35.154,711,0.0,0.18207282913165265,0.0,0.0,0.0,0.6470588235294118,0.1695760959171572,0.9987077485782216,137
129.018,35.151,129.019,35.152,1440,0.6666666666666666,0.12324929971988796,0.0,0.0,0.0,0.19117647058823528,0.01740354530947939,0.9984959822842693,138
129.066,35.152,129.067,35.153,1307,0.3333333333333333,0.22969187675070027,0.0,0.0,0.0,0.3235294117647059,0.1066485399823554,0.9932031618310948,139
129.03,35.148,129.031,35.149,664,0.0,0.19607843137254902,0.0,0.0,0.25,0.4411764705882353,0.10418022552295002,0.9914351274837343,140
129.046,35.157,129.047,35.158,1004,0.0,0.17086834733893558,0.0,0.0,0.25,0.38235294117647056,0.18624203944482207,0.9894633279602283,141
129.043,35.168,129.044,35.169,538,0.0,0.08123249299719888,0.0,0.0,0.0,0.75,0.1573309421537008,0.9885634351508997,142
129.069,35.165,129.07,35.166,1556,0.3333333333333333,0.39215686274509803,0.0,0.0,0.0,0.044117647058823525,0.21822406703016456,0.9878319101674193,143
129.068,35.164,129.069,35.165,517,0.0,0.37815126050420167,0.0,0.0,0.0,0.3235294117647059,0.2845793018333984,0.9862599741023059,144
129.072,35.172,129.073,35.173,797,0.0,0.24369747899159663,0.0,0.0,0.0,0.6470588235294118,0.09231110404041865,0.9830674065614271,145
129.041,35.165,129.042,35.166,1323,0.0,0.3473389355742297,0.0,0.0,0.0,0.3529411764705882,0.27999942148879853,0.9802795335336164,146
129.039,35.166,129.04,35.167,1393,0.0,0.3557422969187675,0.0,0.0,0.0,0.5147058823529411,0.10896258478804796,0.9794107640597567,147
129.052,35.177,129.053,35.178,1235,0.3333333333333333,0.11204481792717087,0.0,0.0,0.0,0.4117647058823529,0.12026765784919177,0.9774105149920489,148
129.048,35.157,129.049,35.158,1484,0.3333333333333333,0.24369747899159663,0.0,0.0,0.0,0.1764705882352941,0.21970409152047207,0.9732054920806962,149
129.069,35.164,129.07,35.165,1519,0.0,0.3865546218487395,0.0,0.0,0.0,0.4264705882352941,0.15508921124818612,0.9681144213322197,150
129.069,35.167,129.07,35.168,1243,0.0,0.3445378151260504,0.0,0.0,0.0,0.5147058823529411,0.1064074936484291,0.9656511911274206,151
129.037,35.164,129.038,35.165,1409,0.0,0.24369747899159663,0.0,0.0,0.0,0.5441176470588235,0.17778613405068722,0.9656012601011074,152
129.077,35.174,129.078,35.175,1097,0.3333333333333333,0.14565826330532214,0.0,0.0,0.0,0.3382352941176471,0.1471057566685468,0.9643326474248493,153
129.025,35.151,129.026,35.152,914,0.0,0.19047619047619047,0.0,0.0,0.0,0.5882352941176471,0.178113957064827,0.9568254416586646,154
129.063,35.167,129.064,35.168,1169,0.0,0.10644257703081232,0.015384615384615385,0.0,0.0,0.7058823529411764,0.12895014679721736,0.9566596921538215,155
129.031,35.165,129.032,35.166,230,0.0,0.21008403361344538,0.0,0.0,0.0,0.6323529411764706,0.11309411895154486,0.9555310937414608,156
129.068,35.148,129.069,35.149,390,0.3333333333333333,0.17086834733893558,0.0,0.0,0.0,0.29411764705882354,0.1555809457693958,0.9539002735004882,157
